evid,orid,magid,magnitude,magtype,uncertainty,nsta,nobs,lat,lon,depth,datetime,erhor,erlat,erlon,sdep,gap,quality,ndef,nbs,nbfm,fdepth,fepi
61518277,3093843,3001388,1.73,l,0.10761043739374232,13,24,47.535,-122.534,28.75,1555565979.5199995,0.45,,,0.86,64,1,41,16,18,n,n
61518287,3093848,3001398,0.99,l,0.21888223329406992,9,12,46.023,-122.1405,7.31,1555586558.79,0.33,,,0.54,142,1,25,9,6,n,n
61623386,3126813,3053453,1.3,l,0.09272557199124143,9,14,47.448166666666665,-122.10883333333334,20.94,1589040179.329998,0.3,,,0.83,76,1,26,11,7,n,n
61518227,3093853,3001408,1.52,l,0.13641752791412176,6,11,48.15,-122.63966666666667,28,1555553910.9499998,0.34,,,0.79,81,1,27,11,8,n,n
61518292,3093858,3001418,0.8200000000000001,l,0.13319777741570404,6,8,45.897666666666666,-122.24516666666666,7.38,1555596923.3600006,1.8,,,0.51,315,0.75,10,2,3,n,n
61518982,3094498,3002378,1.4000000000000001,l,0.2185042925110452,10,17,45.870666666666665,-122.824,22.59,1555944486.959999,0.48,,,1.6,95,1,24,10,9,n,n
61518232,3093873,3001448,1.9000000000000001,l,0.12728209318181638,10,17,48.79833333333333,-122.0755,-0.77,1555555972.7799988,0.43,,,0.92,75,1,14,5,4,n,n
61518272,3093903,3001483,0.62,l,0.09764396998882499,3,6,47.61266666666667,-122.7585,23.76,1555564870.9799995,1.89,,,1.09,224,0.75,8,3,4,n,n
61518222,3093918,3001513,1.26,l,0.20382842276894975,5,7,47.8195,-122.36066666666666,21.29,1555552296.8199997,0.51,,,1.81,111,1,16,8,5,n,n
61518842,3094233,3001978,1.2,l,0.14075114531082533,5,8,46.95366666666666,-122.056,76.4,1555796955.369999,1.63,,,0.83,131,0.75,20,6,5,n,n
61518732,3094408,3002213,0.89,l,0.17978120690220833,5,7,46.157666666666664,-122.679,16.63,1555764478.0299988,2.22,,,1.13,179,0.75,13,7,2,n,n
61518717,3094423,3002243,0.55,l,0.08175572202037223,6,8,46.266,-122.0575,9.67,1555744291.6799998,0.54,,,1.48,201,1,15,5,5,n,n
61518672,3094453,3002298,0.6900000000000001,l,0.215407778584644,6,9,46.39333333333333,-122.26033333333334,2.43,1555731618.949997,0.91,,,8.39,194,0.5,10,3,4,y,n
61519702,3094083,3001763,1.83,l,0.13034668791803483,13,27,47.431666666666665,-122.61833333333334,46.42,1556145558.6100006,0.45,,,0.69,71,1,30,10,14,n,n
61519677,3094088,3001773,1.08,l,0.1935941559967041,6,10,48.600833333333334,-123.10616666666667,11.65,1556136987.74,0.59,,,1.51,79,1,18,7,7,n,n
61519672,3094103,3001793,0.35000000000000003,l,0.19496772619754443,7,10,46.270833333333336,-122.06083333333333,7.74,1556133985.9300003,0.57,,,0.88,229,1,12,4,5,n,n
61535917,3101113,3013433,1.49,l,0.1740735253638449,5,8,44.347833333333334,-124.51416666666667,-0.35,1563059105.25,1.45,,,1.11,147,0.75,16,7,3,n,n
61519752,3094173,3001893,0.87,l,0.11918723496257866,4,7,47.53033333333333,-122.84916666666666,23.91,1556175443.25,1.39,,,1.02,170,0.75,11,5,4,n,n
61539162,3102183,3015308,1.49,l,0.19683617334083492,8,14,48.321,-122.56866666666667,20.84,1564020297.2299995,0.5,,,0.84,69,1,25,5,7,n,n
61539242,3102188,3015318,1.46,l,0.1628641561461972,8,13,47.844833333333334,-122.7995,51.05,1564062949.2399998,0.61,,,0.9,84,1,21,3,14,n,n
61519157,3094688,3002708,1.6500000000000001,l,0.13529436619886615,8,17,47.760666666666665,-122.54933333333334,24.23,1555996123.17,0.37,,,0.57,95,1,30,11,8,n,n
